Algorithm,Repetitions,Pop_size,Sel_size,Fitness,Time
GA,5,40,20,0.11082043025350072,103.90995669364929
GA,5,40,30,0.11113259412916006,118.1067841053009
GA,5,40,40,0.11451716893627122,124.5133318901062
GA,5,60,20,0.09605914985064103,115.1018533706665
GA,5,60,30,0.10326889136766518,85.85100293159485
GA,5,60,40,0.10696884058853658,83.48147368431091
GA,5,80,20,0.10005781827957283,81.00820088386536
GA,5,80,30,0.10160345790006861,82.84233283996582
GA,5,80,40,0.1033994842291599,83.14196825027466
