Algorithm,Repetitions,initialTemp,p_oreka,Fitness,Time
SA,5,0.2,0.1,0.028454969233890313,84.92894387245178
SA,5,0.2,0.3,0.029181169137985304,95.93571591377258
SA,5,0.2,0.5,0.024674903179834846,103.42374777793884
SA,5,0.4,0.1,0.030481395195502553,100.35775375366211
SA,5,0.4,0.3,0.025179543853289806,107.94349074363708
SA,5,0.4,0.5,0.02692314297021554,107.74310564994812
SA,5,0.6,0.1,0.02770370870690942,96.03504061698914
SA,5,0.6,0.3,0.022284004500758035,103.50484657287598
SA,5,0.6,0.5,0.02470831691761634,102.69257426261902
