Instance_Size,Algorithm,Fitness,Time
50,SA,0.2824,1.8160219192504883
50,SA,0.16389177939646202,1.9666802883148193
50,SA,0.12613378684807255,2.8177380561828613
50,SA,0.12896825396825393,2.6308112144470215
50,SA,0.1528,1.6818482875823975
50,SA,0.1328125,1.9415299892425537
100,SA,0.1687242798353909,3.3106331825256348
100,SA,0.09157186348341612,4.4713380336761475
100,SA,0.1127488032249937,4.825759410858154
100,SA,0.13527575442247658,5.612717628479004
100,SA,0.11595989480604865,6.142160892486572
100,SA,0.09556786703601108,8.969344854354858
600,SA,0.0208988706513356,27.288062810897827
600,SA,0.021612778302877552,37.34359049797058
600,SA,0.019705999999999994,33.563721656799316
600,SA,0.02676020408163265,36.97761297225952
600,SA,0.050923873811121956,36.94228768348694
600,SA,0.04604680107912262,27.184146881103516
1000,SA,0.0050091019178196096,42.581470012664795
1000,SA,0.009800255368279165,49.14424467086792
1000,SA,0.01921360579427408,46.59746694564819
1000,SA,0.013764571425138695,45.973742723464966
1000,SA,0.010324629980857472,52.694236755371094
1000,SA,0.00900899114999338,66.13645267486572
1500,SA,0.004715395481882267,95.35221219062805
1500,SA,0.008599807540212286,75.46151399612427
1500,SA,0.012315331911961923,80.45084929466248
1500,SA,0.009063240181724493,80.53813004493713
1500,SA,0.011232448664881097,100.24941205978394
1500,SA,0.016167370131485607,85.90907645225525
