Num_Com,Algorithm,Fitness,Time
5,SA,0.045697723689254906,26.85639452934265
5,SA,0.029123455511030773,31.3681161403656
5,SA,0.04684251043634227,27.557274103164673
5,SA,0.04721759809750297,30.733927011489868
5,SA,0.017033919703728632,30.37123727798462
5,SA,0.038434021214030646,24.157420873641968
10,SA,0.04129538935936242,24.402364015579224
10,SA,0.04167721595293211,22.796715021133423
10,SA,0.013202523853493388,22.307955980300903
10,SA,0.030280950928879707,21.963837146759033
10,SA,0.027999040781614644,23.15316891670227
10,SA,0.018323424494649222,22.63346028327942
20,SA,0.029468767592418843,22.16423010826111
20,SA,0.023907885452730787,21.061378717422485
20,SA,0.032534209025919913,22.432714700698853
20,SA,0.0174716898456226,20.95507025718689
20,SA,0.026032721187299074,22.026071786880493
20,SA,0.02421474480151229,22.069945335388184
50,SA,0.01930290981876608,21.535181999206543
50,SA,0.021543209876543214,21.28969144821167
50,SA,0.012074646546260618,23.23562216758728
50,SA,0.021383331557355216,22.77847647666931
50,SA,0.013785013178998306,26.174720764160156
50,SA,0.014316726139078757,22.077331066131592
100,SA,0.010120790996361092,23.83702540397644
100,SA,0.019400192049608952,23.375695943832397
100,SA,0.012369828077985697,24.514824390411377
100,SA,0.004926787839714347,23.462289333343506
100,SA,0.011724561239245554,21.01413345336914
100,SA,0.013400079362656811,21.52539038658142
