Num_Com,Algorithm,Fitness,Time
5,RS,-0.03531370031005599,22.184630870819092
5,RS,-0.02029640831758035,24.047077417373657
5,RS,-0.036324271136076336,22.37473464012146
5,RS,-0.012294481509142679,23.261540412902832
5,RS,-0.039378734755209734,24.158066272735596
5,RS,-0.03967860913083709,22.850168466567993
10,RS,-9.142225801305869e-05,21.776021242141724
10,RS,-0.005867879432149783,22.50302028656006
10,RS,-0.015000499444368137,24.36146330833435
10,RS,-0.004070733166448872,22.841614961624146
10,RS,-0.018921960665962474,24.925387144088745
10,RS,-0.012425505333329135,23.35355854034424
20,RS,-0.02601742078038044,24.429814338684082
20,RS,0.007295940114017789,22.882054567337036
20,RS,0.006039340498799953,22.447651863098145
20,RS,0.0027834252442184887,24.662653923034668
20,RS,0.006234710743801653,23.16983962059021
20,RS,0.00929736600522562,24.853230476379395
50,RS,-0.008662253946584054,23.40944743156433
50,RS,-0.0019255206934643034,23.910176753997803
50,RS,-0.00023735375810117118,23.29399609565735
50,RS,-0.006287596981613349,21.09045147895813
50,RS,-0.004722859333247099,23.075755834579468
50,RS,-0.0026309431125667803,23.197620630264282
100,RS,-0.009721373045680846,22.22914433479309
100,RS,0.0006011179146313732,24.091700315475464
100,RS,-0.004897452632411688,34.476662397384644
100,RS,0.0013311898632859525,30.218170166015625
100,RS,0.0037034974381822236,32.63491225242615
100,RS,0.0019206873169237335,33.53844475746155
