Instance_Size,Algorithm,Fitness,Time
50,RS,-0.02489795918367347,2.3725643157958984
50,RS,0.09274673008323427,2.0724799633026123
50,RS,-0.03549382716049383,2.7992653846740723
50,RS,-0.03641528925619834,3.2505548000335693
50,RS,0.0244140625,2.247138500213623
50,RS,-0.08064516129032258,2.449162483215332
100,RS,-0.011831275720164607,4.879193305969238
100,RS,-0.059027777777777776,3.5950205326080322
100,RS,-0.0012500000000000046,4.190422534942627
100,RS,-0.05201124567474048,5.477437734603882
100,RS,0.0015094795314575457,5.4526166915893555
100,RS,-0.003662109375,4.397025108337402
600,RS,-0.012860637745810623,29.275362968444824
600,RS,-0.013474503815830567,23.074575185775757
600,RS,-0.01244703711347716,32.95971131324768
600,RS,-0.0035405681010076645,31.548977613449097
600,RS,-0.018652128441404264,28.141555786132812
600,RS,-0.017763636363636363,27.577892780303955
1000,RS,-0.012687453728413768,46.70563459396362
1000,RS,-0.005933999626533928,44.60981202125549
1000,RS,-0.0007390181544372622,47.87307834625244
1000,RS,-0.00959847852665489,40.782851219177246
1000,RS,-0.005511342831094816,40.26311683654785
1000,RS,-0.004835195819923647,40.854026556015015
1500,RS,0.0015866719973066227,77.4255142211914
1500,RS,0.0006127792264559681,89.39901399612427
1500,RS,-0.007808017564284469,77.86529493331909
1500,RS,-0.004551167900952874,74.50585126876831
1500,RS,-0.011052470487570198,66.86530828475952
1500,RS,-0.006895585833100928,69.75963306427002
