Num_Com,Algorithm,Fitness,Time
5,GA,0.13114251929341475,28.33808207511902
5,GA,0.16892654380295224,27.891031742095947
5,GA,0.12695759625390218,30.266982316970825
5,GA,0.12694236191208508,34.85195446014404
5,GA,0.10752208087740206,38.52296757698059
5,GA,0.12887229290021884,30.23296070098877
10,GA,0.16780508121615995,30.16050124168396
10,GA,0.13922257350255662,32.866862297058105
10,GA,0.14565920485841394,31.696721076965332
10,GA,0.13777979022491352,31.663318157196045
10,GA,0.14983195659216064,40.74154233932495
10,GA,0.14780416666666668,37.29783010482788
20,GA,0.09002548759205131,37.38987946510315
20,GA,0.09490383078480473,34.72643828392029
20,GA,0.088151534852168,36.329381227493286
20,GA,0.09930137330731192,41.71018362045288
20,GA,0.11469641283448165,37.34046506881714
20,GA,0.12507243201989937,35.91235375404358
50,GA,0.11455661184045068,40.05752968788147
50,GA,0.10384380148992843,35.55888533592224
50,GA,0.09249460546646066,36.63425326347351
50,GA,0.07063635637326515,36.85433864593506
50,GA,0.09626032913229762,32.65035104751587
50,GA,0.08924939331453659,31.34648060798645
100,GA,0.09464499054820416,35.08122682571411
100,GA,0.0742421965335648,35.75538444519043
100,GA,0.09133630023042988,36.95818090438843
100,GA,0.08607220196814783,34.43930983543396
100,GA,0.08142358574791006,35.460927963256836
100,GA,0.08387134205106218,35.30954146385193
